# file...... houseTest.csv
# date...... Thu Sep  1 16:07:28 2016
# user...... fathima
# host...... (null)
# target.... controller 76
# trigger... (none)
# interval.. 60
# limit..... -2147483648
# timestamp,bid_price,bid_quantity,house11:power_state,house11:air_temperature,house11:system_mode,house11:hvac_load,house11:outdoor_temperature
2000-08-09 00:00:00 PDT,+0,+0,OFF,+70,OFF,+0,+57.922
2000-08-09 00:01:00 PDT,+0,+0,OFF,+69.8515,OFF,+0,+57.8996
2000-08-09 00:02:00 PDT,+0,+0,OFF,+69.7255,OFF,+0,+57.8775
2000-08-09 00:03:00 PDT,+0,+0,OFF,+69.6179,OFF,+0,+57.8556
2000-08-09 00:04:00 PDT,+0,+0,OFF,+69.5253,OFF,+0,+57.834
2000-08-09 00:05:00 PDT,+0,+0,OFF,+69.4449,OFF,+0,+57.8126
2000-08-09 00:06:00 PDT,+0,+0,OFF,+69.3746,OFF,+0,+57.7915
2000-08-09 00:07:00 PDT,+0,+0,OFF,+69.3123,OFF,+0,+57.7706
2000-08-09 00:08:00 PDT,+0,+0,OFF,+69.2567,OFF,+0,+57.75
2000-08-09 00:09:00 PDT,+0,+0,OFF,+69.2066,OFF,+0,+57.7296
2000-08-09 00:10:00 PDT,+0,+0,OFF,+69.1609,OFF,+0,+57.7095
2000-08-09 00:11:00 PDT,+0,+0,OFF,+69.1188,OFF,+0,+57.6896
2000-08-09 00:12:00 PDT,+0,+0,OFF,+69.0796,OFF,+0,+57.67
2000-08-09 00:13:00 PDT,+0,+0,OFF,+69.0429,OFF,+0,+57.6506
2000-08-09 00:14:00 PDT,+0,+0,OFF,+69.0082,OFF,+0,+57.6315
2000-08-09 00:15:00 PDT,+0,+0,OFF,+68.975,OFF,+0,+57.6126
2000-08-09 00:16:00 PDT,+0,+0,OFF,+68.9433,OFF,+0,+57.594
2000-08-09 00:17:00 PDT,+0,+0,OFF,+68.9126,OFF,+0,+57.5756
